Tick Size: 1593
The World has been created at Thu Apr 25 13:01:35 CDT 2013
Trade [numShares=1, stockId=12, action=SELL]
sell stock id: 22, a:1, p:69.3974
Trade [numShares=1, stockId=20, action=BUY]
buy stock id: 20, a:1, p:26.5849
Trade [numShares=1, stockId=25, action=SELL]
sell stock id: 25, a:1, p:52.9839
Trade [numShares=1, stockId=9, action=BUY]
buy stock id: 9, a:1, p:20.9486
Trade [numShares=1, stockId=2, action=SELL]
sell stock id: 2, a:1, p:75.6342
Trade [numShares=1, stockId=8, action=BUY]
buy stock id: 8, a:1, p:50.62
Trade [numShares=1, stockId=16, action=BUY]
buy stock id: 16, a:1, p:36.6745
Trade [numShares=1, stockId=20, action=BUY]
buy stock id: 20, a:1, p:26.7783
Trade [numShares=1, stockId=21, action=BUY]
buy stock id: 21, a:1, p:26.5083
Trade [numShares=1, stockId=8, action=SELL]
sell stock id: 8, a:1, p:50.7
Trade [numShares=1, stockId=3, action=BUY]
buy stock id: 3, a:1, p:11.4597
Trade [numShares=1, stockId=1, action=BUY]
buy stock id: 1, a:1, p:61.29
Trade [numShares=1, stockId=4, action=SELL]
sell stock id: 4, a:1, p:94.43
Trade [numShares=1, stockId=10, action=BUY]
Trade [numShares=1, stockId=7, action=BUY]
buy stock id: 7, a:1, p:45.9148
buy stock id: 10, a:1, p:63.2622
Trade [numShares=1, stockId=11, action=SELL]
sell stock id: 11, a:1, p:16.8733
Trade [numShares=1, stockId=13, action=BUY]
buy stock id: 13, a:1, p:21.6572
Trade [numShares=1, stockId=18, action=SELL]
sell stock id: 18, a:1, p:96.6531
Trade [numShares=1, stockId=19, action=SELL]
sell stock id: 19, a:1, p:43.0253
Trade [numShares=1, stockId=27, action=SELL]
sell stock id: 27, a:1, p:42.59
Trade [numShares=1, stockId=24, action=BUY]
buy stock id: 24, a:1, p:74.5069
Trade [numShares=1, stockId=30, action=BUY]
buy stock id: 30, a:1, p:134.162
Trade [numShares=1, stockId=22, action=BUY]
buy stock id: 22, a:1, p:69.1791
Trade [numShares=1, stockId=29, action=SELL]
sell stock id: 29, a:1, p:88.9517
Trade [numShares=1, stockId=22, action=BUY]
buy stock id: 22, a:1, p:69.1692
Trade [numShares=1, stockId=29, action=BUY]
buy stock id: 29, a:1, p:88.9815
Trade [numShares=1, stockId=14, action=SELL]
sell stock id: 14, a:1, p:72.1221
Trade [numShares=1, stockId=2, action=SELL]
sell stock id: 2, a:1, p:76.0813
Trade [numShares=1, stockId=25, action=SELL]
sell stock id: 25, a:1, p:53.3524
Trade [numShares=1, stockId=0, action=SELL]
sell stock id: 0, a:1, p:8.8901
Trade [numShares=1, stockId=9, action=SELL]
sell stock id: 9, a:1, p:21.0081
Trade [numShares=1, stockId=14, action=BUY]
buy stock id: 14, a:1, p:72.0834
Trade [numShares=1, stockId=25, action=SELL]
sell stock id: 25, a:1, p:53.3225
Trade [numShares=1, stockId=29, action=SELL]
sell stock id: 29, a:1, p:88.9517
Trade [numShares=1, stockId=16, action=BUY]
buy stock id: 16, a:1, p:36.7341
Trade [numShares=1, stockId=21, action=SELL]
sell stock id: 21, a:1, p:26.4885
Trade [numShares=1, stockId=29, action=BUY]
buy stock id: 29, a:1, p:88.9617
Trade [numShares=1, stockId=20, action=BUY]
buy stock id: 20, a:1, p:26.6791
Trade [numShares=1, stockId=0, action=BUY]
buy stock id: 0, a:1, p:8.9299
Trade [numShares=1, stockId=9, action=BUY]
buy stock id: 9, a:1, p:20.9912
Trade [numShares=1, stockId=15, action=BUY]
buy stock id: 15, a:1, p:45.97
Trade [numShares=1, stockId=13, action=SELL]
sell stock id: 13, a:1, p:21.6721
Trade [numShares=1, stockId=25, action=SELL]
sell stock id: 25, a:1, p:53.472
Trade [numShares=1, stockId=24, action=BUY]
buy stock id: 24, a:1, p:74.5367
Trade [numShares=1, stockId=26, action=BUY]
buy stock id: 26, a:1, p:85.3992
Trade [numShares=1, stockId=19, action=BUY]
buy stock id: 19, a:1, p:42.946
Trade [numShares=1, stockId=2, action=SELL]
sell stock id: 2, a:1, p:76.0813
Trade [numShares=1, stockId=14, action=SELL]
sell stock id: 14, a:1, p:71.9247
Trade [numShares=1, stockId=22, action=SELL]
sell stock id: 22, a:1, p:69.1395
Trade [numShares=1, stockId=29, action=BUY]
buy stock id: 29, a:1, p:88.9219
Trade [numShares=1, stockId=3, action=BUY]
buy stock id: 3, a:1, p:11.4597
Trade [numShares=1, stockId=4, action=BUY]
buy stock id: 4, a:1, p:94.58
Trade [numShares=1, stockId=5, action=BUY]
buy stock id: 5, a:1, p:20.97
Trade [numShares=1, stockId=10, action=BUY]
Trade [numShares=1, stockId=6, action=SELL]
sell stock id: 6, a:1, p:111.7401
buy stock id: 10, a:1, p:63.1428
Trade [numShares=1, stockId=17, action=SELL]
sell stock id: 17, a:1, p:90.7579
Trade [numShares=1, stockId=27, action=BUY]
buy stock id: 27, a:1, p:42.54
Trade [numShares=1, stockId=24, action=BUY]
buy stock id: 24, a:1, p:74.5566
Trade [numShares=1, stockId=28, action=SELL]
sell stock id: 28, a:1, p:67.9715
Trade [numShares=1, stockId=26, action=SELL]
sell stock id: 26, a:1, p:85.3197
Trade [numShares=1, stockId=18, action=BUY]
buy stock id: 18, a:1, p:96.5537
Trade [numShares=1, stockId=5, action=BUY]
buy stock id: 5, a:1, p:20.97
Trade [numShares=1, stockId=4, action=SELL]
sell stock id: 4, a:1, p:94.58
Trade [numShares=1, stockId=1, action=BUY]
buy stock id: 1, a:1, p:61.23
Trade [numShares=1, stockId=13, action=BUY]
buy stock id: 13, a:1, p:21.6721
Trade [numShares=1, stockId=17, action=SELL]
sell stock id: 17, a:1, p:90.7678
Trade [numShares=1, stockId=16, action=SELL]
sell stock id: 16, a:1, p:36.7142
Trade [numShares=1, stockId=22, action=BUY]
buy stock id: 22, a:1, p:69.1196
Trade [numShares=1, stockId=23, action=SELL]
sell stock id: 23, a:1, p:34.03
Trade [numShares=1, stockId=28, action=SELL]
sell stock id: 28, a:1, p:67.9814
Trade [numShares=1, stockId=24, action=SELL]
sell stock id: 24, a:1, p:74.5566
Trade [numShares=1, stockId=30, action=BUY]
Trade [numShares=1, stockId=29, action=BUY]
buy stock id: 29, a:1, p:88.902
buy stock id: 30, a:1, p:134.1123
Trade [numShares=1, stockId=12, action=SELL]
sell stock id: 12, a:1, p:191.9023
Trade [numShares=1, stockId=22, action=BUY]
buy stock id: 22, a:1, p:69.0998
Trade [numShares=1, stockId=14, action=BUY]
buy stock id: 14, a:1, p:71.9654
Trade [numShares=1, stockId=3, action=SELL]
sell stock id: 3, a:1, p:11.4797
Trade [numShares=1, stockId=1, action=BUY]
buy stock id: 1, a:1, p:61.15
Trade [numShares=1, stockId=15, action=BUY]
buy stock id: 15, a:1, p:45.86
Trade [numShares=1, stockId=18, action=SELL]
sell stock id: 18, a:1, p:96.4742
Trade [numShares=1, stockId=20, action=BUY]
buy stock id: 20, a:1, p:26.5551
Trade [numShares=1, stockId=27, action=BUY]
buy stock id: 27, a:1, p:42.51
Trade [numShares=1, stockId=30, action=BUY]
buy stock id: 30, a:1, p:133.9731
Trade [numShares=1, stockId=8, action=BUY]
buy stock id: 8, a:1, p:50.56
Trade [numShares=1, stockId=1, action=BUY]
buy stock id: 1, a:1, p:61.21
Trade [numShares=1, stockId=2, action=SELL]
sell stock id: 2, a:1, p:75.9323
Trade [numShares=1, stockId=12, action=SELL]
sell stock id: 12, a:1, p:191.7429
Trade [numShares=1, stockId=6, action=SELL]
sell stock id: 6, a:1, p:111.8988
Trade [numShares=1, stockId=24, action=BUY]
buy stock id: 24, a:1, p:74.5268
Trade [numShares=1, stockId=30, action=SELL]
sell stock id: 30, a:1, p:134.0328
Trade [numShares=1, stockId=24, action=BUY]
Trade [numShares=1, stockId=28, action=BUY]
buy stock id: 28, a:1, p:67.8721
